,Frame name,Datetime,Fork name,Disc.,Sizes,date,Frame code,Fork code,RefreshTimeUTC
156,ZX1 DISC,2017-07-26 00:00:00,RD,ZX1 Disc,49 - 60 (6),26.07.2017,VITU-ZX1D-RD,VITU-ZX1D-RD,2020-06-24 20:42:04
157,DOMINUS,2017-07-13 00:00:00,RD,DOMINUS,430 - 550 (5),13.07.2017,JORB-DOM-RD,JORB-DOM-RD,2020-06-24 20:42:04
158,MARCELLO THP,2017-07-13 00:00:00,TR,Marcello THP,490 - 565 (4),13.07.2017,RAIK-THP-TR,RAIK-THP-TR,2020-06-24 20:42:04
159,KRYPTON MY2018,2017-06-30 00:00:00,RD,KRYPTON MY2018,XXS - XL (6),30.06.2017,AR18-KR2-RD,AR18-KR2-RD,2020-06-24 20:42:04
160,KRYPTON MY2018 KRYPTON CS KRYPTON GF KRYPTON PRO,2017-06-30 00:00:00,RD,KRYPTON MY2018 /KRYPTON CS /KRYPTON GF /KRYPTON PRO,XXS - XL (6),30.06.2017,AR18-KR2-RD,AR18-KR2-RD,2020-06-24 20:42:04
161,AERIUM TT 18,2017-05-29 00:00:00,TT,AERIUM SuperHPCFork,S - L (3),29.05.2017,CUBE-AE18-TT,CUBE-AER-TT,2020-06-24 20:42:04
162,PROPEL ADV SL DISCMY18,2017-05-18 00:00:00,RD,Propel Adv Disc MY18,XS - XL (6),18.05.2017,GIAN-PS18-RD,GIAN-P18-RD,2020-06-24 20:42:04
163,LIV LANGMA ADV DISCMY18,2017-05-18 00:00:00,RD,LIV Langma Adv DiscMY18,XXS - L (5),18.05.2017,GIAN-LD18-RD,GIAN-LD18-RD,2020-06-24 20:42:04
164,LIV LANGMA ADVMY18,2017-05-18 00:00:00,RD,LIVLangma Adv SLMY18,XXS - L (5),18.05.2017,GIAN-L18-RD,GIAN-LS18-RD,2020-06-24 20:42:04
165,PROPEL ADV PRO DISCMY18,2017-05-18 00:00:00,RD,Propel Adv Disc MY18,XS - XL (6),18.05.2017,GIAN-PP18-RD,GIAN-P18-RD,2020-06-24 20:42:04
166,LIV LANGMA ADV SLMY18,2017-05-18 00:00:00,RD,LIV Langma Adv SLMY18,XXS - L (5),18.05.2017,GIAN-LS18-RD,GIAN-LS18-RD,2020-06-24 20:42:04
167,CENTO10AIR DISC CENTO10PRO DISC,2017-05-17 00:00:00,RD,CENTO10AIR DISC /CENTO10PRO DISC,XS - XXL (7),17.05.2017,WIL-C10D-RD,WIL-C10D-RD,2020-06-24 20:42:04
168,TARMAC SL6,2017-04-20 00:00:00,RD,TARMAC SL6,44 - 61 (8),20.04.2017,SPE-TA03-RD,SPE-TA03-RD,2020-06-24 20:42:04
169,G7 PRO,2017-04-06 00:00:00,RD,G7 Pro,XS - XL (5),06.04.2017,BHB-G7P-RD,BHB-G7P-RD,2020-06-24 20:42:04
170,CCT TEAM,2017-04-05 00:00:00,RD,CCT Team,46 - 60 (6),05.04.2017,CORR-CCTT-RD,CORR-CCTT-RD,2020-06-24 20:42:04
171,911 TEAM EDITION,2017-03-29 00:00:00,TT,911 Team Edition,450 - 560 (5),29.03.2017,OLMO-911T-TT,OLMO-911T-TT,2020-06-24 20:42:04
172,AJ1,2017-03-23 00:00:00,RD,AJ-1,46.5 - 56 (4),23.03.2017,WDN-AJ1-RD,WDN-AJ1-RD,2020-06-24 20:42:04
173,FINDER,2017-03-23 00:00:00,RD,FINDER,45 - 56 (6),23.03.2017,ROL-FIND-RD,ROL-FIND-RD,2020-06-24 20:42:04
174,CANY-R056-RD,2017-03-22 00:00:00, , , , , ,R056,2020-06-24 20:42:04
175,ORCA AERO 18,2017-03-22 00:00:00,ORCA AERO 18,RD,47 - 60 (7),ORB-ORC7-RD,22.03.2017,ORB-ORC7-RD,2020-06-24 20:42:04
176,PROTOS MY2017,2017-03-16 00:00:00,RD,PROTOS MY2017,XXS - XXXL (9),16.03.2017,DER-PRO2-RD,DER-PRO2-RD,2020-06-24 20:42:04
177,AERO1,2017-02-28 00:00:00,RD,AERO-1,45 - 58 (7),28.02.2017,PYTH-AER1-RD,PYTH-AER1-RD,2020-06-24 20:42:04
178,CENTO 10 NDR,2017-02-14 00:00:00,RD,CENTO 10 NDR,XS - XXL (6),14.02.2017,WIL-C10N-RD,WIL-C10N-RD,2020-06-24 20:42:04
179,THRESHOLD MK3,2017-02-10 00:00:00,CX,THRESHOLD MK3,48 - 60.5 (6),10.02.2017,NORC-THR3-CX,NORC-THR3-CX,2020-06-24 20:42:04
180,ROUBAIX 17 RIM,2017-02-08 00:00:00,RD,ROUBAIX 17 RIM,52 - 60 (5),08.02.2017,SPE-R17R-RD,SPE-R17R-RD,2020-06-24 20:42:04
181,VELOCE ZEROUNO,2017-02-07 00:00:00,RD,VELOCE ZEROUNO,470 - 580 (5),07.02.2017,OLMO-VEL-RD,OLMO-VEL-RD,2020-06-24 20:42:04
182,SLICK,2017-01-19 00:00:00,TT,SLICK,S - XL (4),19.01.2017,FACT-SLI-TT,FACT-SLI-TT,2020-06-24 20:42:04
183,REBUS,2017-01-16 00:00:00,RD,REBUS,S - XL (4),16.01.2017,DOL-REBU-RD,DOL-REBU-RD,2020-06-24 20:42:04
184,WAWS1,2017-01-05 00:00:00,RD,WAWS-1,XS - L (4),05.01.2017,WIA-WA1-RD,WIA-WA1-RD,2020-06-24 20:42:04
185,CROCKETT MY2018 DISC,2016-12-15 00:00:00,ISO Speed Crosscarbon disc,CX,47 - 61 (7),15.12.2016,TREK-048-CX,TREK-048-CX,2020-06-24 20:42:04
186,EMONDA SLR MY2018CALIPER,2016-12-15 00:00:00,EMONDA SLR FullCarbon E2,RD,47 - 62 (8),15.12.2016,TREK-049-RD,TREK-049-RD,2020-06-24 20:42:04
187,EMONDA SLR MY2018DISC,2016-12-15 00:00:00,EMONDA SLR DiscCarbon E2,RD,47 - 62 (8),15.12.2016,TREK-050-RD,TREK-050-RD,2020-06-24 20:42:04
188,DOMANE AL,2016-12-15 00:00:00,Domane ISO speed,RD,44 - 62 (9),15.12.2016,TREK-047-RD,TREK-047-RD,2020-06-24 20:42:04
189,DOMANE SL MY2018DISC,2016-12-15 00:00:00,"ISO Speed full carbon,E2, Disc",RD,44 - 62 (9),15.12.2016,TREK-045-RD,TREK-045-RD,2020-06-24 20:42:04
190,XNIGHT DISC 7E1XNIGHT SL DISC 7E1,2016-12-14 00:00:00,CX,Oryx Disc 7E1,41 - 58 (7),14.12.2016,RID-XND2-CX,RID-XND2-CX,2020-06-24 20:42:04
191,ARIA,2016-12-13 00:00:00,RD,ARIA,440 - 610 (8),13.12.2016,BIAN-ARIA-RD,BIAN-ARIA-RD,2020-06-24 20:42:04
192,OLTRE XR3,2016-12-13 00:00:00,RD,OLTRE XR3,470 - 610 (7),13.12.2016,BIAN-OL3-RD,BIAN-OL3-RD,2020-06-24 20:42:04
193,ORCA OMR DISC 17,2016-12-08 00:00:00,ORCA OMR DISC 17,RD,47 - 60 (7),ORB-ORC6-RD,08.12.2016,ORB-ORC6-RD,2020-06-24 20:42:04
194,Teammachine Disc,2016-11-24 00:00:00,Teammachine Disc,Teammachine Disc RD,47 - 61 (6),24.11.2016,BMC-SLRD-RD,BMC-SLRD-RD,2020-06-24 20:42:04
195,Teammachine Rim,2016-11-24 00:00:00,Teammachine Rim,Teammachine Rim RD,47 - 61 (6),24.11.2016,BMC-SLRR-RD,BMC-SLRR-RD,2020-06-24 20:42:04
196,HELIUM SLXHELIUM X,2016-10-31 00:00:00,RD,Helium SLXHelium X,XXS - XL (6),31.10.2016,RID-HSLX-RD,RID-HSLX-RD,2020-06-24 20:42:04
197,LEGGERO SL MY 2017,2016-10-27 00:00:00,RD,LEGGERO SL MY 2017,46 - 61 (6),27.10.2016,COND-L2SL-RD,COND-L2SL-RD,2020-06-24 20:42:04
198,LEGGERO MY 2017,2016-10-27 00:00:00,RD,LEGGERO MY 2017,46 - 61 (6),27.10.2016,COND-L2-RD,COND-L2-RD,2020-06-24 20:42:04
199,GALLIUM PRO CALIPER GALLIUM CALIPER,2016-10-25 00:00:00,RD,GA31-CALIPER,XXS - XL (6),25.10.2016,AR18-GAC-RD,AR18-GAC-RD,2020-06-24 20:42:04
200,CORSA SL DISC,2016-09-29 00:00:00,RD,S - XL (6),29.09.2016,AVNT-CSLD-RD,AVNT-CSLD-RD,CORSA SL DISC,2020-06-24 20:42:04
201,ADDICT DISC,2016-09-28 00:00:00,RD,ADDICT DISC,47 - 61 (7),28.09.2016,SCOT-ADDC-RD,SCOT-ADDC-RD,2020-06-24 20:42:04
202,DOMANE SL MY2018CALIPER,2016-09-28 00:00:00,"ISO Speed full carbon,E2",RD,44 - 62 (9),28.09.2016,TREK-044-RD,TREK-044-RD,2020-06-24 20:42:04
203,ROAD1,2016-09-27 00:00:00,RD,Road1,48 - 58 (5),27.09.2016,FARA-RD1-RD,FARA-RD1-RD,2020-06-24 20:42:04
204,GALLIUM PRO DISC GALLIUM DISC GALLIUM CS DISC,2016-09-21 00:00:00,RD,GA31-DISC,XXS - XL (6),21.09.2016,AR18-GAD-RD,AR18-GAD-RD,2020-06-24 20:42:04
205,LITENING DISC 17,2016-08-31 00:00:00,RD,LITENING DISC 17,50 - 62 (7),31.08.2016,CUBE-LI17-RD,CUBE-LI17-RD,2020-06-24 20:42:04
206,BOONE CYCLOCROSSMY2018 DISC,2016-08-25 00:00:00,"ISO Speed crosscarbon disc, E2",CX,47 - 61 (7),25.08.2016,TREK-043-CX,TREK-043-CX,2020-06-24 20:42:04
207,R10,2016-08-18 00:00:00,RD,R10,XS - L (4),18.08.2016,RID-R10-RD,RID-R10-RD,2020-06-24 20:42:04
208,XTRAIL,2016-08-18 00:00:00,RD,X-TRAIL,XXS - XL (6),18.08.2016,RID-XTR-RD,RID-XTR-RD,2020-06-24 20:42:04
209,CANY-R33B-RD,2016-08-17 00:00:00, , , , , ,MY2017,2020-06-24 20:42:04
210,FELTFRDRD,2016-07-29 00:00:00,FR Disc,FR Disc,RD,43 - 61 (7),29.07.2016,FELT-FRD-RD,2020-06-24 20:42:04
211,TXT SR,2016-07-29 00:00:00,TR,TXT SR,XS - L (4),29.07.2016,WIA-TXSR-TR,WIA-TXSR-TR,2020-06-24 20:42:04
212,FELTFRRD,2016-07-29 00:00:00,FR,FR,RD,43 - 61 (7),29.07.2016,FELT-FR-RD,2020-06-24 20:42:04
213,RAN RS,2016-07-06 00:00:00,RD,K-21,XS - XL (5),06.07.2016,DEDA-RARS-RD,DEDA-RARS-RD,2020-06-24 20:42:04
214,AEROFLYER,2016-06-29 00:00:00,TT,AEROFLYER,S - L (3),29.06.2016,ROSE-AERO-TT,ROSE-AERO-TT,2020-06-24 20:42:04
215,DEAN MY 2016,2016-06-29 00:00:00,TT,DEAN MY 2016,XXS - L (5),29.06.2016,RID-DE16-TT,RID-DE16-TT,2020-06-24 20:42:04
216,ARENA TT,2016-06-29 00:00:00,TR,ARENA TT,51 - 53 (3),29.06.2016,RID-ARTT-TR,RID-ARTT-TR,2020-06-24 20:42:04
217,ORCA RIM BRAKE,2016-06-21 00:00:00,ORCA RIM BRAKE,RD,47 - 60 (7),ORB-ORC5-RD,21.06.2016,ORB-ORC5-RD,2020-06-24 20:42:04
218,TXT,2016-05-31 00:00:00,TR,TXT,XS - L (4),31.05.2016,WIA-TXT-TR,WIA-TXT-TR,2020-06-24 20:42:04
219,LIGERO,2016-05-31 00:00:00,RD,LIGERO,XXS - L (5),31.05.2016,WIA-LIG-RD,WIA-LIG-RD,2020-06-24 20:42:04
220,MR1S,2016-05-30 00:00:00,RD,MR1S,450 - 610 (7),30.05.2016,DARE-MR1S-RD,DARE-MR1S-RD,2020-06-24 20:42:04
221,ELECTRON PRO,2016-05-26 00:00:00,TR,ELECTRON PRO,XXS - L (5),26.05.2016,AR18-ELP-TR,AR18-ELP-TR,2020-06-24 20:42:04
222,RUBY,2016-05-19 00:00:00,RD,RUBY,48 - 58 (5),19.05.2016,SPE-RUBY-RD,SPE-RUBY-RD,2020-06-24 20:42:04
223,DOMANE ALR CALIPER,2016-05-19 00:00:00,Bontrager ISO SpeedFork Composite,RD,50 - 62 (7),19.05.2016,TREK-042-RD,TREK-042-RD,2020-06-24 20:42:04
224,R890 NEW SUPERKING DISK,2016-05-19 00:00:00,RD,R890 NEW SUPERKING DISK,460 - 600 (8),19.05.2016,DER-NSKD-RD,DER-NSKD-RD,2020-06-24 20:42:04
225,ROUBAIX 17,2016-05-12 00:00:00,RD,ROUBAIX 17,49 - 64 (12),12.05.2016,SPE-RB17-RD,SPE-RB17-RD,2020-06-24 20:42:04
226,NOAH SL DISC,2016-04-22 00:00:00,RD,Noah SL Disc,XXS - L (5),22.04.2016,RID-NSLD-RD,RID-NSLD-RD,2020-06-24 20:42:04
227,AVANT OMP 17,2016-04-22 00:00:00,AVANT OMP 17,RD,47 - 60 (7),ORB-AV17-RD,22.04.2016,ORB-AV17-RD,2020-06-24 20:42:04
228,VENGE VIAS DISC,2016-04-22 00:00:00,RD,VENGE VIAS DISC,49 - 61 (8),22.04.2016,SPE-VEVD-RD,SPE-VEVD-RD,2020-06-24 20:42:04
229,G7 DISC,2016-04-22 00:00:00,RD,G7 Disc,54 - 58 (4),22.04.2016,BHB-G7D-RD,BHB-G7D-RD,2020-06-24 20:42:04
230,FENIX SL DISCFENIX SLX DISC,2016-04-22 00:00:00,RD,Fenix SL DiscFenix SLX Disc,XXS - XL (6),22.04.2016,RID-FSLD-RD,RID-FSLD-RD,2020-06-24 20:42:04
231,CANY-R050-RD,2016-04-21 00:00:00, , , , , ,R050,2020-06-24 20:42:04
232,DOMANE ALR DISC,2016-04-21 00:00:00,Domane carbon disc,RD,50 - 62 (7),21.04.2016,TREK-041-RD,TREK-041-RD,2020-06-24 20:42:04
233,VENTOX.3,2016-04-21 00:00:00,RD,VentoX.3,50 - 58 (5),21.04.2016,ALEO-VEX3-RD,ALEO-VEX3-RD,2020-06-24 20:42:04
234,GIRO C,2016-04-20 00:00:00,RD,50.5 - 60 (7),20.04.2016,AVNT-GIC-RD,AVNT-GIC-RD,GIRO C,2020-06-24 20:42:04
235,MARCELLO LEGGERO,2016-04-20 00:00:00,RD,HP3,45 - 61 (7),20.04.2016,RAIK-MAL-RD,RAIK-HP3-RD,2020-06-24 20:42:04
236,Timemachine 2,2016-04-18 00:00:00,Timemachine 2,Timemachine 2 TT,S - L (4),18.04.2016,BMC-TIM2-TT,BMC-TIM2-TT,2020-06-24 20:42:04
237,Z112,2016-04-18 00:00:00,TT,Z112,45 - 56 (5),18.04.2016,ZAN-Z112-TT,ZAN-Z112-TT,2020-06-24 20:42:04
238,Z82,2016-04-08 00:00:00,RD,Z82,45 - 58 (6),08.04.2016,ZAN-Z82-RD,ZAN-Z82-RD,2020-06-24 20:42:04
239,KAPP,2016-04-06 00:00:00,RD,KAPP,450 - 600 (8),06.04.2016,NOR-KAPP-RD,NOR-KAPP-RD,2020-06-24 20:42:04
240,QRL,2016-04-06 00:00:00,RD,QRL,S - XL (5),06.04.2016,QUIN-QRL-RD,QUIN-QRL-RD,2020-06-24 20:42:04
241,MMR-ADM-RD,2016-03-23 00:00:00, , , , , ,MMR-ADM-RD,2020-06-24 20:42:04
242,OLTRE XR4 CV,2016-03-23 00:00:00,RD,OLTRE XR4 CV,440 - 610 (8),23.03.2016,BIAN-OL4-RD,BIAN-OL4-RD,2020-06-24 20:42:04
243,DEFY ADV SL DISCMY17,2016-03-22 00:00:00,RD,Defy Adv SL discMY17,XS - XL (6)TeamM-L (3),22.03.2016,GIAN-DASD-RD,GIAN-DASD-RD,2020-06-24 20:42:04
244,SOLACE,2016-03-18 00:00:00,RD,Solace,49 - 58 (5),18.03.2016,SCOT-SOL-RD,SCOT-SOL-RD,2020-06-24 20:42:04
245,ORCA OME 17,2016-03-14 00:00:00,ORCA OME 17,RD,47 - 60 (7),ORB-ORC4-RD,14.03.2016,ORB-ORC4-RD,2020-06-24 20:42:04
246,CANY-R051-RD,2016-02-26 00:00:00, , , , , ,R051,2020-06-24 20:42:04
247,CANY-R049-RD,2016-02-26 00:00:00, , , , , ,R049,2020-06-24 20:42:04
248,TACTIC DISC,2016-02-24 00:00:00,RD,TACTIC DISC,48 - 60.5 (6),24.02.2016,NORC-TADI-RD,NORC-TADI-RD,2020-06-24 20:42:04
249,XEON CWXLITE CW,2016-02-23 00:00:00,RD,EGR-FK-02EGR-FK-03,51 - 62 (5),23.02.2016,ROSE-XLCW-RD,ROSE-XLCW-RD,2020-06-24 20:42:04
250,XEON CRSXLITE TEAMCRS,2016-02-22 00:00:00,RD,XEON CRSX-Lite TEAM/CRS,50 - 62 (6),22.02.2016,ROSE-XLTM-RD,ROSE-XLTM-RD,2020-06-24 20:42:04
251,FELTTAFRTR,2016-02-17 00:00:00,TA FRD,TA FRD,TR,55,17.02.2016,FELT-TAFR-TR,2020-06-24 20:42:04
252,PISTA PURSUIT,2016-02-17 00:00:00,TR,XS-S - XL (4),17.02.2016,AVNT-PIPU-TR,AVNT-PIPU-TR,Pista Pursuit,2020-06-24 20:42:04
253,CTIME,2016-02-17 00:00:00,TT,C-Time,520 - 560 (3),17.02.2016,CORR-CTIM-TT,CORR-CTIM-TT,2020-06-24 20:42:04
254,Timemachine 1,2016-01-28 00:00:00,Timemachine 1,Timemachine 1 TT,S - L (4),28.01.2016,BMC-TIM1-TT,BMC-TIM1-TT,2020-06-24 20:42:04
255,O2,2016-01-28 00:00:00,RD,FK-03,49 - 61 (6),28.01.2016,FACT-O2-RD,FACT-O2-RD,2020-06-24 20:42:04
256,CENTO10AIR CENTO10PRO,2016-01-20 00:00:00,RD,CENTO 10 AIR /CENTO10PRO,XS - XXL (6),20.01.2016,WIL-C10A-RD,WIL-C10A-RD,2020-06-24 20:42:04
257,TARMAC DISC,2016-01-19 00:00:00,RD,TARMAC DISC,49 - 60 (6),19.01.2016,SPE-TADI-RD,SPE-TADI-RD,2020-06-24 20:42:04
258,TCR ADV PRO DISCMY17,2016-01-19 00:00:00,RD,TCR Adv SL disc MY17,XS - XL (6),19.01.2016,GIAN-RP17-RD,GIAN-RS17-RD,2020-06-24 20:42:04
259,TCR ADV SL DISC MY17,2016-01-19 00:00:00,RD,TCR Adv SL disc MY17,XS - XL (6),19.01.2016,GIAN-RS17-RD,GIAN-RS17-RD,2020-06-24 20:42:04
260,KET8,2015-12-11 00:00:00,KE-FT8/S,TT,S - XL (4),11.12.2015,KEMO-KET8-TT,KEMO-KET8-TT,2020-06-24 20:42:04
261,OMNIUM,2015-12-11 00:00:00,TR,OMNIUM,490 - 560 (4),11.12.2015,JORB-OMN-TR,JORB-OMN-TR,2020-06-24 20:42:04
262,ORCA DISC 2016,2015-11-17 00:00:00,ORCA DISC 2016,RD,47 - 60 (7),ORB-ORC3-RD,17.11.2015,ORB-ORC3-RD,2020-06-24 20:42:04
263,BELADOR 3.0,2015-11-09 00:00:00,RD,BLADE 3.0,XS - XL (5),09.11.2015,BERR-BEL3-RD,BERR-BEL3-RD,2020-06-24 20:42:04
264,VV2  ONES  ONE,2015-11-03 00:00:00,RD,VV2 / FK-01 / FK-02,51 - 61 (5),03.11.2015,FACT-VV2-RD,FACT-VV2-RD,2020-06-24 20:42:04
265,Roadmachine 1+2,2015-10-30 00:00:00,Roadmachine 1+2,Roadmachine 1+2 RD,47 - 61 (6),30.10.2015,BMC-RMA-RD,BMC-RMA-RD,2020-06-24 20:42:04
266,ALLEZ SPRINT X1,2015-10-28 00:00:00,RD,ALLEZ SPRINT X1,49 - 61 (6),28.10.2015,SPE-ASX1-RD,SPE-ASX1-RD,2020-06-24 20:42:04
267,ALLEZ SPRINT X2,2015-10-28 00:00:00,RD,ALLEZ SPRINT X2,49 - 61 (6),28.10.2015,SPE-ASX2-RD,SPE-ASX2-RD,2020-06-24 20:42:04
268,CARBONEX HR,2015-10-27 00:00:00,RD,CARBONEX HR,XXS - M (4),27.10.2015,YON-CAHR-RD,YON-CAHR-RD,2020-06-24 20:42:04
269,R890 NEW SUPERKING,2015-10-26 00:00:00,RD,R890 NEW SUPERKING,460 - 600 (8),26.10.2015,DER-NSK-RD,DER-NSK-RD,2020-06-24 20:42:04
270,MR T 2015,2015-10-26 00:00:00,TT,MR T 2015,XS - XL (5),26.10.2015,SIMP-MRT2-TT,SIMP-MRT2-TT,2020-06-24 20:42:04
271,SILQUE SLR MY 2017,2015-10-19 00:00:00,ISO SPEED FULLCARBON E2,RD,44 - 56 (6),19.10.2015,TREK-SSLR-RD,TREK-ISFC-RD,2020-06-24 20:42:04
272,DOMANE SL 2016,2015-10-15 00:00:00,ISO Speed full carbonE2,RD,50 - 62 (7),15.10.2015,TREK-DSL-RD,TREK-ISFC-RD,2020-06-24 20:42:04
273,AVIND,2015-09-15 00:00:00,TT,AVIND,470 - 560 (5),15.09.2015,NOR-AVIN-TT,NOR-AVIN-TT,2020-06-24 20:42:04
274,RR AERO,2015-09-08 00:00:00,RD,RR AERO,500 - 570 (3),08.09.2015,WHIT-RRAE-RD,WHIT-RRAE-RD,2020-06-24 20:42:04
275,LITENING15,2015-08-27 00:00:00,RD,LITENING-15,50 - 62 (7),27.08.2015,CUBE-LI15-RD,CUBE-LI15-RD,2020-06-24 20:42:04
276,DOMANE SLR 2016 DISC,2015-08-13 00:00:00,ISO Speed full carbonE2 Disc,RD,50 - 62 (7),13.08.2015,TREK-DSLD-RD,TREK-ISFD-RD,2020-06-24 20:42:04
277,R886 NICK,2015-08-12 00:00:00,RD,R886 NICK,462 - 545 (5),12.08.2015,DER-NICK-RD,DER-NICK-RD,2020-06-24 20:42:04
278,DOMANE SLR 2016,2015-07-30 00:00:00,ISO Speed full carbonE2,RD,50 - 62 (7),30.07.2015,TREK-DSLR-RD,TREK-ISFC-RD,2020-06-24 20:42:04
279,RQC38,2015-06-24 00:00:00,RD,RC58S,460 - 580 (5),24.06.2015,GGC-QC38-RD,GGC-C58S-RD,2020-06-24 20:42:04
280,P1,2015-06-19 00:00:00,TR,PF-1,490 - 580 (4),19.06.2015,COM-P1-TR,COM-P1-TR,2020-06-24 20:42:04
281,EQUIPE TR,2015-06-19 00:00:00,TR,EQUIPE TR,49 --56 (4),19.06.2015,AQU-EQTR-TR,AQU-EQTR-TR,2020-06-24 20:42:04
282,TRINITY ADV PRO MY16,2015-05-28 00:00:00,TT,Trinity Adv Pro MY16,XS - L (4),28.05.2015,GIAN-TRIN-TT,GIAN-TRIN-TT,2020-06-24 20:42:04
283,ORDU 2016,2015-05-28 00:00:00,ORDU 2016,TT,XS - XL (5),ORB-ORD2-TT,28.05.2015,ORB-ORD2-TT,2020-06-24 20:42:04
284,CORSA ER,2015-05-22 00:00:00,RD,50.5 - 60 (7),22.05.2015,AVNT-CER-RD,AVNT-CER-RD,CORSA ER,2020-06-24 20:42:04
285,CARBONEX,2015-05-22 00:00:00,RD,CARBONEX,XXS - M (4),22.05.2015,YON-CARB-RD,YON-CARB-RD,2020-06-24 20:42:04
286,KUOT-KAL-TT,2015-04-15 00:00:00,TT,KALIBUR,48 - 57 (4),15.04.2015,KUOT-KAL-TT,KUOT-KAL-TT,2020-06-24 20:42:04
287,E117,2015-04-15 00:00:00,RD,E-117,XS - XL (5),15.04.2015,AR18-E117-TT,AR18-E117-TT,2020-06-24 20:42:04
288,RADAR,2015-04-10 00:00:00,RD,RADAR,450 - 590 (7),10.04.2015,ELF-RAD-RD,ELF-RAD-RD,2020-06-24 20:42:04
289,TTC FLAT,2015-04-08 00:00:00,TT,TTC FLAT,450 - 560 (5),08.04.2015,JORB-TTCF-TT,JORB-TTCF-TT,2020-06-24 20:42:04
290,CANY-R24-TR,2015-04-07 00:00:00, , , , , ,Track,2020-06-24 20:42:04
291,CCT EVO,2015-03-27 00:00:00,RD,PRO CONTROL EVO,460 - 600 (6),27.03.2015,CORR-CCTE-RD,CORR-CCTE-RD,2020-06-24 20:42:04
292,GTR TEAM  GTR SLGTS TEAM  GTS SL,2015-03-25 00:00:00,RD,GTR Team / GTR SLGTS Team / GTS SL,XS - XXL (6),25.03.2015,WIL-GTRS-RD,WIL-GTRS-RD,2020-06-24 20:42:04
293,MARCELLO HP 1,2015-03-25 00:00:00,RD,DT-FO989,480 - 600 (5),25.03.2015,RAIK-HP1-RD,RAIK-HP1-RD,2020-06-24 20:42:04
294,TCR ADV SL ISP MY16,2015-03-24 00:00:00,RD,TCR MY16,XS - XL (6),24.03.2015,GIAN-RS16-RD,GIAN-FR16-RD,2020-06-24 20:42:04
295,TCR ADV MY16,2015-03-24 00:00:00,RD,TCR MY16,XS - XL (6),24.03.2015,GIAN-R16-RD,GIAN-FR16-RD,2020-06-24 20:42:04
296,F02,2015-03-06 00:00:00,RD,F02,XXS - XXL (7),06.03.2015,SCOT-F02-RD,SCOT-F02-RD,2020-06-24 20:42:04
297,EQUIPE UNO,2015-02-05 00:00:00,RD,EQUIPE UNO,47 --59 (7),05.02.2015,AQU-EQ1-TR,AQU-EQ1-TR,2020-06-24 20:42:04
298,MARCELLO HP 3,2015-02-03 00:00:00,RD,DT-FO12,470 - 590 (5),03.02.2015,RAIK-HP3-RD,RAIK-HP3-RD,2020-06-24 20:42:04
299,MADONE 9 SERIESMY2016,2015-01-19 00:00:00,"Madone KVF FullCarbon, E2",RD,50 - 62 (7),19.01.2015,TREK-MAD9-RD,TREK-MKF-RD,2020-06-24 20:42:04
300,TACTIC MY16,2015-01-16 00:00:00,RD,TACTIC MY16,48 - 60.5 (6),16.01.2015,NORC-TA16-RD,NORC-TA16-RD,2020-06-24 20:42:04
301,FR1,2015-01-06 00:00:00,RD,FR1,480 - 580 (5),06.01.2015,ELF-FR1-RD,ELF-FR1-RD,2020-06-24 20:42:04
302,SPECIALISSIMA CV,2015-01-05 00:00:00,RD,SPECIALISSIMA CV,47 - 61 (7),05.01.2015,BIAN-SPCV-RD,BIAN-SPCV-RD,2020-06-24 20:42:04
303,ADDICTCX,2014-12-18 00:00:00,CX,Addict-CX,49 - 58 (5),18.12.2014,SCOT-AD01-CX,SCOT-AD01-CX,2020-06-24 20:42:04
304,SERIOS,2014-12-15 00:00:00,TT,SERIOS,XS - L (4),15.12.2014,DIA-SER-TT,DIA-SER-TT,2020-06-24 20:42:04
305,PISTA TEAM,2014-12-15 00:00:00,TR,S - XL (5),15.12.2014,AVNT-PITM-TR,AVNT-PITM-TR,Pista Team,2020-06-24 20:42:04
306,KING XS,2014-12-05 00:00:00,RD,KING XS,XXXS-XXXL (9),05.12.2014,DER-KIXS-RD,DER-KIXS-RD,2020-06-24 20:42:04
