Frame name,Datetime,Fork name,Disc.,Sizes,date,Frame code,Fork code,RefreshTimeUTC
NITROGEN DISC,2018-05-07 00:00:00,NITROGEN DISC,RD,XS - XL (5),07.05.2018,AR18-NI02-RD,AR18-NI02-RD,2019-09-01 14:15:20
TTS02,2018-05-04 00:00:00,TTS02,TT,48 - 56 (5),04.05.2018,POD-TTS2-TT,POD-TTS2-TT,2019-09-01 14:15:20
REVELATOR SOLUS,2018-05-04 00:00:00,REVELATOR SOLUS, , , , , ,2019-09-01 14:15:20
MERX,2018-05-02 00:00:00,RD, , , ,RD, ,2019-09-01 14:15:20
SCORPION SL,2018-05-01 00:00:00,SCORPION SL,RD,48 - 60 (5),01.05.2018,HRIN-SCSL-RD,HRIN-SCSL-RD,2019-09-01 14:15:20
LION AERO,2018-04-20 00:00:00,LION AERO,RD,500 - 570 (4),20.04.2018,HRIN-LIAE-RD,HRIN-LIAE-RD,2019-09-01 14:15:20
ZERO DISC,2018-04-20 00:00:00,ZERO DISC,RD,XS - XL (5),20.04.2018,GEN-0DI-RD,GEN-0DI-RD,2019-09-01 14:15:20
AERIUM TT 19,2018-04-19 00:00:00,AERIUM TT 19,TT,XS - L (4),19.04.2018,CUBE-AE03-TT,CUBE-AE03-TT,2019-09-01 14:15:20
MADONE MY2019,2018-04-19 00:00:00,Madone MY2019, , , , , ,2019-09-01 14:15:20
S5 MY19,2018-04-17 00:00:00,FK60,RD,48 - 58 (5),17.04.2018,CERV-S503-RD,CERV-FK60-RD,2019-09-01 14:15:20
DEFYADV PRO MY19,2018-04-17 00:00:00, , , , , , ,2019-09-01 14:15:20
S3 DISC MY19,2018-04-17 00:00:00,FK59,RD,48 - 61 (6),17.04.2018,CERV-S3D2-RD,CERV-FK59-RD,2019-09-01 14:15:20
NOAH FAST DISC,2018-04-17 00:00:00,NOAH FAST DISC,RD,XS - XL (5),17.04.2018,RID-021-RD,RID-021-RD,2019-09-01 14:15:20
NOAH FAST,2018-04-17 00:00:00,NOAH FAST,RD,XS - XL (5),17.04.2018,RID-020-RD,RID-020-RD,2019-09-01 14:15:20
AIRMAN,2018-04-17 00:00:00,AIRMAN,TT,S - XL (4),17.04.2018,AUTH-AIR-TT,AUTH-AIR-TT,2019-09-01 14:15:20
BRAKE MY19  PROPEL,2018-04-17 00:00:00,brake MY19 / PROPEL, , , , , ,2019-09-01 14:15:20
MY19  ENVILIV ADV,2018-04-17 00:00:00,MY19 / ENVILIV Adv, , , , , ,2019-09-01 14:15:20
ELLIOT MY18,2018-04-16 00:00:00,ELLIOT MY18,RD,44 - 53 (5),16.04.2018,VGL-EL03-RD,VGL-EL03-RD,2019-09-01 14:15:20
TIMEMACHINE ROAD 1,2018-04-13 00:00:00,Timemachine Road 1,Timemachine Road 1 RD,47 - 61 (6),13.04.2018,BMC-TMRD-RD,BMC-TMRD-RD,2019-09-01 14:15:20
ORCA AERO DISC 18,2018-04-13 00:00:00,ORCA AERO DISC 18,RD,47 - 60 (7),13.04.2018,ORB-ORC8-RD,ORB-ORC8-RD,2019-09-01 14:15:20
TIMEMACHINE 1 DISC,2018-04-13 00:00:00,Timemachine 1 Disc,Timemachine 1 Disc TT,S - L (4),13.04.2018,BMC-023-TT,BMC-023-TT,2019-09-01 14:15:20
PRIME 4,2018-04-12 00:00:00,CRF-4,RD,440 - 580 (7),12.04.2018,BORA-PRI4-RD,BORA-PRI4-RD,2019-09-01 14:15:20
ALR 1 DISC,2018-04-11 00:00:00,ALR 1 Disc,TeamMachine Disc RD,47 - 60 (5),11.04.2018,BMC-ALRD-RD,BMC-SLRD-RD,2019-09-01 14:15:20
ALR 1 RIM,2018-04-11 00:00:00,ALR 1 Rim,TeamMachine RD,47 - 60 (5),11.04.2018,BMC-ALRR-RD,BMC-TEAM-RD,2019-09-01 14:15:20
AERO FLOW,2018-04-10 00:00:00,AERO FLOW,RD,420 - 580 (7),10.04.2018,LAMI-AEFL-RD,LAMI-AEFL-RD,2019-09-01 14:15:20
TRANSONIC DISC,2018-04-09 00:00:00,TRANSONIC DISC,RD,46 - 61 (7),09.04.2018,FUJI-TRAD-RD,FUJI-TRAD-RD,2019-09-01 14:15:20
TERE DISC,2018-04-05 00:00:00,TERE Disc,RD,495 - 575 (5),05.04.2018,CHA2-TEDI-RD,CHA2-TEDI-RD,2019-09-01 14:15:20
RERE DISC,2018-04-05 00:00:00,RERE Disc,RD,427 - 521 (5),05.04.2018,CHA2-REDI-RD,CHA2-REDI-RD,2019-09-01 14:15:20
795,2018-03-29 00:00:00,795F,RD,XS - XL (5),29.03.2018,LOOK-795-RD,LOOK-795F-RD,2019-09-01 14:15:20
M8  EOS,2018-03-28 00:00:00,M8 / EOS,RD,440 - 570 (5),28.03.2018,DIZO-M8ES-RD,DIZO-M8ES-RD,2019-09-01 14:15:20
FOCUS IZALCO DISC G3,2018-03-28 00:00:00,FOCUS Izalco Disc G3,RD,47 - 61 (7),28.03.2018,DCW-IZ05-RD,DCW-IZ05-RD,2019-09-01 14:15:20
REVELATOR ALTO,2018-03-28 00:00:00, , , , , , ,2019-09-01 14:15:20
CARBONEX DISC,2018-03-28 00:00:00,CARBONEX DISC,RD,XXS - M (4),28.03.2018,YON-CADI-RD,YON-CADI-RD,2019-09-01 14:15:20
BICYCLE 1,2018-03-22 00:00:00,Pista, , , , , ,2019-09-01 14:15:20
VIAL EVO,2018-03-22 00:00:00,VIAL evo,RD,SR - XL (7),22.03.2018,BENO-VIAE-RD,BENO-VIAE-RD,2019-09-01 14:15:20
BLACKBIRD,2018-03-21 00:00:00,BLACKBIRD,RD,47 - 58 (5),21.03.2018,AVNG-BB-RD,AVNG-BB-RD,2019-09-01 14:15:20
DOGMA K10S,2018-03-19 00:00:00,DOGMA K10S,RD,500 - 575 (6),19.03.2018,PINA-029-RD,PINA-029-RD,2019-09-01 14:15:20
ALPE DHUEZ 21,2018-03-19 00:00:00,TFP02,RD,S - M (2),19.03.2018,TIME-AH21-RD,TIME-TFP2-RD,2019-09-01 14:15:20
CC01,2018-03-19 00:00:00,CC01,CX,50 - 59 (5),19.03.2018,KUOT-CC01-CX,KUOT-CC01-CX,2019-09-01 14:15:20
TSR,2018-03-15 00:00:00,TSR+,TT,XXS - L (5),15.03.2018,DARE-TSR-TT,DARE-TSR-TT,2019-09-01 14:15:20
DIAMANTE SV DISC,2018-03-14 00:00:00,DIAMANTE SV disc,RD,45 - 61 (7),14.03.2018,BAS-DSVD-RD,BAS-DSVD-RD,2019-09-01 14:15:20
C64 DISC,2018-03-13 00:00:00,C64 DISC,RD,42s - 60s (9),13.03.2018,COLN-C64D-RD,COLN-C64D-RD,2019-09-01 14:15:20
XELIUS SL 2,2018-03-05 00:00:00,XELIUS SL 2,RD,46 - 61 (6),05.03.2018,LAPI-XSL2-RD,LAPI-XSL2-RD,2019-09-01 14:15:20
PROTOS MY2017,2018-02-27 00:00:00,PROTOS MY2017, , , , , ,2019-09-01 14:15:20
DOMANE SLR DISC,2018-02-25 00:00:00,Domane SLR Disc,RD,47 - 62 (8),25.02.2018,TREK-057-RD,TREK-057-RD,2019-09-01 14:15:20
DOMANE SL DISC,2018-02-25 00:00:00,Domane SL Disc,RD,47 - 62 (8),25.02.2018,TREK-056-RD,TREK-056-RD,2019-09-01 14:15:20
785 DISC,2018-02-21 00:00:00,785F Disc,RD,XS - XL (5),21.02.2018,LOOK-785D-RD,LOOK-785D-RD,2019-09-01 14:15:20
PRIDE,2018-02-21 00:00:00,PRIDE,RD,XXS - XL (6),21.02.2018,SIMP-PRID-RD,SIMP-PRID-RD,2019-09-01 14:15:20
HOLDSWORTH SUPER,2018-02-19 00:00:00,HOLDSWORTH Super, , , , , ,2019-09-01 14:15:20
FALCO 2,2018-02-16 00:00:00,FALCO 2,RD,43 - 58 (7),16.02.2018,JAVA-FAL2-RD,JAVA-FAL2-RD,2019-09-01 14:15:20
SCARLATTI MY18,2018-02-15 00:00:00,SCARLATTI MY18,RD,44 - 53 (5),15.02.2018,VGL-SCA2-RD,VGL-SCA2-RD,2019-09-01 14:15:20
T1 ENDURANCE,2018-02-15 00:00:00,T1 ENDURANCE,RD,47 - 59 (7),15.02.2018,BOT-T1EN-RD,BOT-T1EN-RD,2019-09-01 14:15:20
FUOCO TEAM CARBON,2018-02-15 00:00:00,Fuoco Team full Carbon,RD,47 - 60 (6),15.02.2018,BENO-FUTC-RD,BENO-FUTC-RD,2019-09-01 14:15:20
RD04,2018-02-12 00:00:00,RD04,RD,47 - 56 (4),12.02.2018,GUST-RD04-RD,GUST-RD04-RD,2019-09-01 14:15:20
TURBINE,2018-02-09 00:00:00,TURBINE,TT,S - L (3),09.02.2018,WIL-TURB-TT,WIL-TURB-TT,2019-09-01 14:15:20
ONE 2017 DISC,2018-02-07 00:00:00,FK-06,RD,46 - 61 (7),07.02.2018,FACT-ONE2-RD,FACT-ONE2-RD,2019-09-01 14:15:20
MISSION CROSS LITE,2018-02-07 00:00:00,Mission Cross Lite,CX,47 - 59 (5),07.02.2018,MERI-MICL-CX,MERI-MICC-CX,2019-09-01 14:15:20
MISSION CROSS CF,2018-02-07 00:00:00,Mission Cross CF,CX,47 - 59 (5),07.02.2018,MERI-MICC-CX,MERI-MICC-CX,2019-09-01 14:15:20
TT900,2018-01-29 00:00:00,TT900,TT,45 - 56 (5),29.01.2018,PYTH-TT9-TT,PYTH-TT9-TT,2019-09-01 14:15:20
RERE,2018-01-29 00:00:00,RERE,RD,427 - 521 (5),29.01.2018,CHA2-RERE-RD,CHA2-RERE-RD,2019-09-01 14:15:20
KUR22,2018-01-26 00:00:00,KUR22,RD,45 - 61 (7),26.01.2018,KUOT-KUR-RD,KUOT-KUR-RD,2019-09-01 14:15:20
ALLEZ SPRINT DISC,2018-01-26 00:00:00,ALLEZ SPRINT DISC,RD,49 - 61 (6),26.01.2018,SPE-ASD-RD,SPE-ASD-RD,2019-09-01 14:15:20
PHIBRA,2018-01-26 00:00:00,PHIBRA,RD,XS - XL (5),26.01.2018,POD-PHIB-RD,POD-PHIB-RD,2019-09-01 14:15:20
EMME 4 SUPERLIGHT,2018-01-25 00:00:00,EMME 4 Superlight,RD,44 - 57 (5),25.01.2018,BOT-EM4S-RD,BOT-EM4S-RD,2019-09-01 14:15:20
ALPE DHUEZ 1,2018-01-24 00:00:00,TFP02,RD,S - M (2),24.01.2018,TIME-AH1-RD,TIME-TFP2-RD,2019-09-01 14:15:20
S6,2018-01-24 00:00:00,S6,RD,440 - 570 (5),24.01.2018,DIZO-S6-RD,DIZO-S6-RD,2019-09-01 14:15:20
EUREKA TT,2018-01-17 00:00:00,EUREKA TT,TT,45 - 56 (5),17.01.2018,GUER-EU4-TT,GUER-EU4-TT,2019-09-01 14:15:20
TT 01,2018-01-16 00:00:00,TT 01,TT,500 - 560 (4),16.01.2018,SALC-TT01-TT,SALC-TT01-TT,2019-09-01 14:15:20
TR 01,2018-01-16 00:00:00,TR 01,TR,480 - 570 (4),16.01.2018,SALC-TR01-TR,SALC-TR01-TR,2019-09-01 14:15:20
369SSP,2018-01-15 00:00:00,6M06,RD,S - XL (4),15.01.2018,CKT-369S-RD,CKT-369S-RD,2019-09-01 14:15:20
FP03,2018-01-11 00:00:00,FP03,TR,S - XL (4),11.01.2018,S1N-FP03-TR,S1N-FP03-TR,2019-09-01 14:15:20
VENGE MY19,2018-01-09 00:00:00,VENGE MY19,RD,49 - 61 (7),09.01.2018,SPE-VE03-RD,SPE-VE03-RD,2019-09-01 14:15:20
TARMAC SL6 9R,2018-01-09 00:00:00,TARMAC SL6 9R,RD,44 - 61 (7),09.01.2018,SPE-TA05-RD,SPE-TA05-RD,2019-09-01 14:15:20
PRINCE,2018-01-08 00:00:00, , , , , , ,2019-09-01 14:15:20
PRINCE DISK,2018-01-08 00:00:00,PRINCE DISK /, , , , , ,2019-09-01 14:15:20
ZERO SL,2018-01-04 00:00:00,ZERO SL,RD,XS - XL (5),04.01.2018,GEN-0SL-RD,GEN-0SL-RD,2019-09-01 14:15:20
FASCENARIO.3,2018-01-03 00:00:00,Fascenario.3,RD,XS - XL (5),03.01.2018,STOR-FA3-RD,STOR-FA3-RD,2019-09-01 14:15:20
ONE 2017,2017-12-21 00:00:00,FK-02,RD,46 - 61 (7),21.12.2017,FACT-ONE-RD,FACT-ONE-RD,2019-09-01 14:15:20
C64,2017-12-19 00:00:00,C64,RD,42 - 60 (9),19.12.2017,COLN-C64-RD,COLN-C64-RD,2019-09-01 14:15:20
TT03,2017-12-12 00:00:00,TT-03,TT,534 - 575 (4),12.12.2017,DER-TT03-TT,DER-TT03-TT,2019-09-01 14:15:20
DOGMA K10,2017-11-30 00:00:00,DOGMA K10,RD,440 - 595 (10),30.11.2017,PINA-025-RD,PINA-025-RD,2019-09-01 14:15:20
DOGMA K10S DISK,2017-11-30 00:00:00,DOGMA K10S DISK,RD,440 - 595 (10),30.11.2017,PINA-026-RD,PINA-026-RD,2019-09-01 14:15:20
EUREKA AIR,2017-11-15 00:00:00,EUREKA AIR,RD,XS - XL (5),15.11.2017,GUER-EU2-RD,GUER-EU2-RD,2019-09-01 14:15:20
E740,2017-11-15 00:00:00,E740,RD,45 - 60 (6),15.11.2017,GUER-E740-RD,GUER-E740-RD,2019-09-01 14:15:20
EUREKA CX,2017-11-15 00:00:00,EUREKA CX,CX,49 - 58 (5),15.11.2017,GUER-EU3-CX,GUER-EU3-CX,2019-09-01 14:15:20
ATM,2017-10-18 00:00:00,ATM,RD,47 - 59 (5),18.10.2017,VINO-ATM-RD,VINO-ATM-RD,2019-09-01 14:15:20
TD01AIR,2017-10-18 00:00:00,TD01air,RD,47 - 57 (5),18.10.2017,POD-TD01-RD,POD-TD01-RD,2019-09-01 14:15:20
OLTRE XR3 DISC,2017-10-18 00:00:00,OLTRE XR3 DISC,RD,47 - 61 (7),18.10.2017,BIAN-OL3D-RD,BIAN-OL3D-RD,2019-09-01 14:15:20
STRIKER,2017-10-16 00:00:00,STRIKER,RD,43 - 55 (6),16.10.2017,TAOK-STRI-RD,TAOK-STRI-RD,2019-09-01 14:15:20
FUTURA CALIPER SL,2017-10-13 00:00:00,FUTURA CALIPER SL,RD,RK45-RK50 (2),13.10.2017,/,COLU-FCSL-RD,2019-09-01 14:15:20
T1500,2017-09-27 00:00:00,T1500,RD,410 - 550 (5),27.09.2017,WINS-T15-RD,WINS-T15-RD,2019-09-01 14:15:20
CAADX,2017-09-13 00:00:00,CAADX,CX,46 - 61 (6),13.09.2017,CANN-CA03-CX,CANN-CA03-CX,2019-09-01 14:15:20
CORSA DR 2018,2017-09-12 00:00:00,CORSA DR 2018,RD,S - XL (6),12.09.2017,AVNT-CDR2-RD,AVNT-CDR2-RD,2019-09-01 14:15:20
UNICORN,2017-09-12 00:00:00,UNICORN,RD,430 - 600 (7),12.09.2017,SPEX-UNI-RD,SPEX-UNI-RD,2019-09-01 14:15:20
FM01,2017-09-12 00:00:00,FK01,RD,49 - 61 (6),12.09.2017,HIA-FM01-RD,HIA-FK01-RD,2019-09-01 14:15:20
XRS 001,2017-09-08 00:00:00,XRS 001,RD,44 - 59 (7),08.09.2017,SALC-XRS1-RD,SALC-XRS1-RD,2019-09-01 14:15:20
XLITE 6_4,2017-09-05 00:00:00,X-LITE 6_4,RD,500 - 620 (6),05.09.2017,ROSE-XL04-RD,ROSE-XL04-RD,2019-09-01 14:15:20
FOIL DISC,2017-09-04 00:00:00,FOIL Disc,RD,47 - 61 (7),04.09.2017,SCOT-FOD-RD,SCOT-FOD-RD,2019-09-01 14:15:20
AERO MASTER,2017-08-18 00:00:00,AERO MASTER,TT,461 - 522 (4),18.08.2017,GIOS-AERM-TT,GIOS-AERM-TT,2019-09-01 14:15:20
MOTIVUS MAXIMUS,2017-08-16 00:00:00,MOTIVUS MAXIMUS, , , , , ,2019-09-01 14:15:20
STRADA,2017-08-15 00:00:00,FUNDI,RD,XS - XL (5),15.08.2017,3T-STR-RD,3T-STR-RD,2019-09-01 14:15:20
ARIA DISC,2017-08-14 00:00:00,ARIA Disc,RD,44 - 61 (8),14.08.2017,BIAN-ARD-RD,BIAN-ARD-RD,2019-09-01 14:15:20
AERO LITE,2017-08-11 00:00:00,AERO LITE,RD,480 - 560 (5),11.08.2017,GIOS-AERL-RD,GIOS-AERL-RD,2019-09-01 14:15:20
SPECTRE TRACK,2017-08-10 00:00:00,Columbus Pista Legera,TR,515 - 605 (8),10.08.2017,FEST-SPTR-TR,FEST-SPTR-TR,2019-09-01 14:15:20
SPECTRE,2017-08-10 00:00:00,Columbus Futura,RD,50 - 61 (12),10.08.2017,FEST-SPRD-RD,FEST-SPRD-RD,2019-09-01 14:15:20
CAVALIER,2017-08-10 00:00:00,CAVALIER,RD,450 - 580 (7),10.08.2017,JOHN-CAV-RD,JOHN-CAV-RD,2019-09-01 14:15:20
O2 DISC,2017-07-28 00:00:00,FK-05,RD,46 - 61 (7),28.07.2017,FACT-O2D-RD,FACT-O2D-RD,2019-09-01 14:15:20
XLITE 6_4 DISC,2017-07-27 00:00:00,X-LITE 6_4 Disc,RD,500 - 620 (6),27.07.2017,ROSE-XL03-RD,ROSE-XL03-RD,2019-09-01 14:15:20
INFLITE CF SLX DISC,2017-07-27 00:00:00,RD,CANY-F045-RD, , , , ,2019-09-01 14:15:20
NK1K DISC,2017-07-27 00:00:00,NK1K Disc,RD,XXS - XXL (7),27.07.2017,DIAM-NK1D-RD,DIAM-NK1D-RD,2019-09-01 14:15:20
SYSTEMSIX,2017-07-27 00:00:00,SYSTEMSIX,RD,47 - 62 (7),27.07.2017,CANN-SY6-RD,CANN-SY6-RD,2019-09-01 14:15:20
PRIME,2017-07-26 00:00:00,PRIME,RD,420 - 510 (6),26.07.2017,LA-PRI-RD,LA-PRI-RD,2019-09-01 14:15:20
ZX1 DISC,2017-07-26 00:00:00,ZX1 Disc,RD,49 - 60 (6),26.07.2017,VITU-ZX1D-RD,VITU-ZX1D-RD,2019-09-01 14:15:20
VITESSE EVO DISC,2017-07-26 00:00:00,Vitesse Evo Disc,RD,49 - 60 (6),26.07.2017,VITU-VIED-RD,VITU-VIED-RD,2019-09-01 14:15:20
875,2017-07-13 00:00:00,875F,TR,XS - XL (5),13.07.2017,LOOK-875-TR,LOOK-875-TR,2019-09-01 14:15:20
MARCELLO THP,2017-07-13 00:00:00,Marcello THP,TR,490 - 565 (4),13.07.2017,RAIK-THP-TR,RAIK-THP-TR,2019-09-01 14:15:20
RB1K THE ONE,2017-07-13 00:00:00,RB1K THE ONE,RD,XXS - XXL (7),13.07.2017,DIAM-RB1-RD,DIAM-RB1-RD,2019-09-01 14:15:20
DOMINUS,2017-07-13 00:00:00,DOMINUS,RD,430 - 550 (5),13.07.2017,JORB-DOM-RD,JORB-DOM-RD,2019-09-01 14:15:20
KRYPTON MY2018,2017-06-30 00:00:00,KRYPTON MY2018 /, , , , , ,2019-09-01 14:15:20
KRYPTON CS,2017-06-30 00:00:00,KRYPTON CS /, , , , , ,2019-09-01 14:15:20
REVELATOR LISSE,2017-06-21 00:00:00,F11 disc,RD,49 - 59 (5),21.06.2017,KTM-REV4-RD,KTM-F11D-RD,2019-09-01 14:15:20
EUREKA DX50,2017-06-20 00:00:00,EUREKA DX50,RD,S - XL (4),20.06.2017,GUER-EU1-RD,GUER-EU1-RD,2019-09-01 14:15:20
V2R RIM  DISC,2017-06-19 00:00:00,V2-R rim & disc,RD,420 - 580 (8),19.06.2017,COLN-V2R-RD,COLN-V2R-RD,2019-09-01 14:15:20
DOGMA F10 DISK,2017-06-19 00:00:00,DOGMA F10 Disk,RD,440 - 620 (11),19.06.2017,PINA-D10D-RD,PINA-D10D-RD,2019-09-01 14:15:20
SWOOP TRK,2017-06-15 00:00:00,SWOOP TRK,TR,S - L (3),15.06.2017,BOMA-SW-TR,BOMA-SW-TR,2019-09-01 14:15:20
AIR,2017-06-15 00:00:00,T9,RD,XXS - LG (5),15.06.2017,BOAR-AIR-RD,BOAR-T9-RD,2019-09-01 14:15:20
REVELATOR SKY,2017-06-15 00:00:00,F8 disc,RD,49 - 59 (5),15.06.2017,KTM-REV3-RD,KTM-F8D-RD,2019-09-01 14:15:20
TT,2017-05-31 00:00:00,TT,TT,S - XL (4),31.05.2017,JAMI-TT-TT,JAMI-TT-TT,2019-09-01 14:15:20
AERIUM TT 18,2017-05-29 00:00:00,Fork, , , , , ,2019-09-01 14:15:20
LIV LANGMA ADV,2017-05-18 00:00:00,LIVLangma Adv SL, , , , , ,2019-09-01 14:15:20
PROPEL ADV PRO DISC,2017-05-18 00:00:00, , , , , , ,2019-09-01 14:15:20
LIV LANGMA ADV SL,2017-05-18 00:00:00,LIV Langma Adv SL, , , , , ,2019-09-01 14:15:20
PROPEL ADV SL DISC,2017-05-18 00:00:00, , , , , , ,2019-09-01 14:15:20
LIV LANGMA ADV DISC,2017-05-18 00:00:00,LIV Langma Adv Disc, , , , , ,2019-09-01 14:15:20
CENTO10AIR DISC,2017-05-17 00:00:00,CENTO10AIR DISC /, , , , , ,2019-09-01 14:15:20
URGESTALT 2017,2017-04-20 00:00:00,URGESTALT 2017,RD,48 - 60 (6),20.04.2017,LW-UR17-RD,LW-UR17-RD,2019-09-01 14:15:20
TARMAC SL6,2017-04-20 00:00:00,TARMAC SL6,RD,44 - 61 (8),20.04.2017,SPE-TA03-RD,SPE-TA03-RD,2019-09-01 14:15:20
FUTURA CALIPER,2017-04-20 00:00:00,FUTURA CALIPER,RD,RK45-RK50 (2),20.04.2017,/,CINE-FUTC-RD,2019-09-01 14:15:20
TARMAC 18 DISC,2017-04-20 00:00:00,TARMAC 18 DISC,RD,44 -61 (8),20.04.2017,SPE-TA04-RD,SPE-TA04-RD,2019-09-01 14:15:20
BF115,2017-04-19 00:00:00,BF-115,RD,420 - 540 (5),19.04.2017,BEAC-115-RD,BEAC-115-RD,2019-09-01 14:15:20
K1 TRACK,2017-04-10 00:00:00,K1 Track,TR,S - L (3),10.04.2017,COLN-K1TR-TR,COLN-K1TR-TR,2019-09-01 14:15:20
TF2 AERO  DARDO,2017-04-10 00:00:00,REFLEX AERO,RD,41 - 58 (7),10.04.2017,FOND-TF2A-RD,FOND-TF2A-RD,2019-09-01 14:15:20
K1,2017-04-10 00:00:00,K1,TT,XS - L (4),10.04.2017,COLN-K1-TT,COLN-K1-TT,2019-09-01 14:15:20
G7 PRO,2017-04-06 00:00:00,G7 Pro,RD,XS - XL (5),06.04.2017,BHB-G7P-RD,BHB-G7P-RD,2019-09-01 14:15:20
AERO017,2017-04-05 00:00:00,AERO017,RD,48 - 54 (4),05.04.2017,HERS-AE17-RD,HERS-AE17-RD,2019-09-01 14:15:20
CCT TEAM,2017-04-05 00:00:00,CCT Team,RD,46 - 60 (6),05.04.2017,CORR-CCTT-RD,CORR-CCTT-RD,2019-09-01 14:15:20
BAYAMO 2,2017-03-29 00:00:00,BAYAMO 2,TT,480 - 560 (5),29.03.2017,NPR-BAY2-TT,NPR-BAY2-TT,2019-09-01 14:15:20
911 TEAM EDITION,2017-03-29 00:00:00,911 Team Edition,TT,450 - 560 (5),29.03.2017,OLMO-911T-TT,OLMO-911T-TT,2019-09-01 14:15:20
DAEDALUS,2017-03-29 00:00:00,AERLITE TT,TT,S - XL (4),29.03.2017,GAV-DAE-TT,GAV-DAE-TT,2019-09-01 14:15:20
HANSHI,2017-03-24 00:00:00,HANSHI,RD,440 - 610 (7),24.03.2017,MEMI-HAN-RD,MEMI-HAN-RD,2019-09-01 14:15:20
CRUX 18,2017-03-24 00:00:00,Crux 18,CX,46 - 61 (7),24.03.2017,SPE-CRU2-CX,SPE-CRU2-CX,2019-09-01 14:15:20
FINDER,2017-03-23 00:00:00,FINDER,RD,45 - 56 (6),23.03.2017,ROL-FIND-RD,ROL-FIND-RD,2019-09-01 14:15:20
